# -*- eval: (local-set-key (kbd "TAB") '(lambda () (interactive) (insert "\t"))) -*-
# Also contains adjective roots

# Genitive pronoun forms
rwmo	my/mine
rwno	our/ours (two possessors)
rwyo	our/ours
rizo	your/yours
rijo	the two of you's
rixo	y'all's
rato	his/her/hers/its
rabo	their/theirs (two possessors)
rado	their/theirs

rwato	whose (single possessor), interrogative
rwabo	whose (dual possessor), interrogative
rwado	whose (plural possessor), interrogative

# Demonstrative pronouns
ita	this (nom.)
eta	this (obl.)
iqa	that (nom.)
eqa	that (obl.)

ritao	this's
ritwo	this pair's
ritwao	this group's
riqao	that's
riqwo	that pair's
riqwao	that group's

# Indefinite pronouns and categories
orvo	some (an unspecified)
yemo	none
# axwa "every, all" moved to closed form to prevent re-pluralization
veli	any
hanu	place, location
bwri	time, moment
zove	way, method
dule	reason
lera	amount, quantity

# Fauna
hie	human

# People what do things
ogbai	traveller, vagabond

# Food and drink
locho	food
riqho	beverage
ataru	cinnamon
balorvu	dough
enxa	water
gomu	fruit
hompaliso	butter
kofi	coffee
kolarvu	bread
mofke	oats
oku	flour
orbili	jelly
paliso	milk
rojgomu	plum
ruzeqo	hunger
toreli	cookie
turakolu	pasta
twipe	sugar
wibale	egg
zalma	salt
kureni	pie
jarpagomu	pumpkin
alwpagomu	strawberry
sizagomu	raspberry
geze	juice
laksalfa	leavening agent, yeast
dahzelo	saucepan
twipenxa	syrup
toka	peanut
zampaliso	cheese

# Structures
veonxi	building
jiso	room
dunse	kitchen

# Machinery
tusvo	bus

# Things
kworu	clothing
kude	book
jozrwpo	shirt
lekwazu	hat
oca	container, box
ifaro	jar, vessel
jalu	strip

# Places
veta	nation, state, delineated region
usonba	land, ground, earth

# Colors
itiye	color
wre	black
apo	white
pamono	red
emkixa	orange
amelte	yellow
colbao	green
honwze	blue
emewle	indigo
siovqi	violet

# Descriptors
izwfu	old
zohca	young
wepu	distinguished, magnificent
oma	good, satisfactory
oyu	bad, inadequate
agi	big, large
eyi	small (size)
ogi	many, much
uyi	few, little, small (quantity)
ogwri	frequent, common
uywri	rare, scarce
qahe	close, near
xuso	distant, far
ovekqu	simple, easy, basic
dusiko	cold
lirwpa	hot
tozqwyo	versatile
hwomda	delicious
nousve	viscous
yaje	thin
yuqina	wild
utavi	main, primary, principal
fevi	side, secondary

# Adjectival root of solely, only, just
itya	sole, lone

# Adjectival root of simply, merely, just
aqe	mere

# Space
puflantu	galaxy

# Numbers
saqe	6, half-dozen
fesaqe	12, dozen
paisaqe	18
avsaqe	24
nesaqe	30
paiyo	108
toe	twelve hundred ninety-six
wdo	seventy-seven hundred seventy-six

# Ordinal numbers
utaru	first
feru	second
pairu	third
avuru	fourth
neru	fifth
saqeru	sixth
saqtaru	seventh
saqferu	eighth
saqpairu	ninth
saqavuru	tenth
saqneru	eleventh
fesaqeru	twelfth
# Of course these exist for higher numbers but I have gotten bored.

# Multiple numbers
utale	single
fele	double
paile	triple

# Other math
gabxo	parabola

# Positional
nafi	right-direction
defi	left-direction
henqo	interior
jasqo	exterior
bedfi	top-side
vaxfi	bottom-side
dokfe	between
ura	middle

# Time
roqa	day (24 hour period)
tiroqa	today
qoyelu	month
henroqa	morning
jasroqa	night

# Months
qoyeutaru	january
qoyeferu	february
qoyepairu	march
qoyeavuru	april
qoyeneru	may
qoyesaqeru	june
qoyesaqteru	july
qoyesaqferu	august
qoyesaqpairu	september
qoyesaqavuru	october
qoyesaqneru	november
qoyefesaqeru	december

# rocks
atipu	rock
girotipu	shale
amipu	talc
catipu	gypsum
rupatipu	calcite
oritipu	fluorite
sokotipu	apatite
sizitipu	orthoclase
wtipu	quartz
oyitipu	topaz
rokotipu	corundum
dotipu	diamond

# Planets
hen'ogbi	Mercury (INNERMOST!-wanderer)
olcogbi	Venus (pearl-wanderer)
lahrogbi	Earth (penguin-wanderer)
ihrogbi	Mars (blood-planet)
saqwnogbi	Jupiter (storm-wanderer)
tavrogbi	Saturn (ring-wanderer)
ixnogbi	Uranus (tilt-wanderer)
cwrzogbi	Neptune (ice-wanderer)

# misc exceptional stuff
zupote	tar
ejo	lake
ixi	river
paxu	wrong
pahamope	mountain
bethu	bitter
xwoxe	springs
ansa	solution/answer
podfu	web
wnwli	wrinkle

# Animals
ogku	cat
ukge	dog
zwmsi	fish

# The Outdoors
qunxe	sun
erqoye	moon
obwnere	mud
mainci	summer
furwne	cloud, fluff

# Body parts
eqme	leg

# Sentiment
xoso	happy
anjo	sad

# Misc
cuafi	fresh, newly-made, unused
jano	cup
guramu	gram
gwnde	rod
e'a	fire
xoale	smoke
rojde	version, edition
jwntu	pair
egaska	dazzling
tixuo	heart
antuho	glue
mwbe	random
tiha	light, luminescence
pekle	crayon
noigle	circus
veskepi	ham
rali	house
balri	mouse
qerwkse	fox
xotilu	car
maglame	mass, loaf, blob
#????	gone  --  Try to use exist-NEG
karka	also, additional, too
saqvura	cube
abvura	tetrahedron
saqfevura	octahedron
fesaqvura	dodecahedron
paisaqfevura	icosahedron
talne	chunk
velqegso	thorough, meticulous
kirwge	health
atsaro	cinnamon
vesaro	spice
iporo	pot
zoxura	occaional, sometimes
ogje	thick (linear dimension)
jide	top, above
ombu	full
tini	wine
durema	straight
ungikpe	flush
wabu	card
espuyi	royal
anuva	high
yoxuka	long
lahro	penguin
olcusa	pearl
saqwne	storm
ihro	Earth-blood
cwrza	ice
ixnu	tilt
tavro	ring
twipibne	dessert
omeze	exemplar, perfect
dwonga	heavy
hise	light, weightless
jaonga	dense
juqzove	recipe
pahi	flat
tama	eye, tablespoon
tahlo	pan
jerada	vigor
tolorca	selective
eyosfe	tongue
pexa	adult
bilbi	whisk
amwlo	pound (unit)
malave	shape
sotwma	layer
zamgomu	tomato
rai	other
utarai	another
urarai	each other
qoqra	version, edition
exuri	soft
kirake	crisp (texture)
rwtxo	circle, round
ayego	year

# Here are some words I like the sound of even if I don't have a use for them yet.
# (These are generated by script RNG, which is less likely to include my personal
#  biases about which phones are "fun".)

uja	???
mid'o	???
hepxo	???
noifrue	???
uce	???
izba	???
