# -*- eval: (local-set-key (kbd "TAB") '(lambda () (interactive) (insert "\t"))) -*-

# General
kar	add
tag	allow, let
az/z*	be (copula)
zif	be (locative)
jif	be (exist)
etaz	become, turn
merin	can, be able
pem	cause
yad	do
pog	give
tex	go
quk	make, produce
atimor	match, correspond
nib	move (intrans.)
neb	move (trans.)
qun	possess, own
ajen	put
yit	receive
rwgex	save, conserve
siveg	show, demonstrate
piwv	use

# Intellectual
tol	choose, select
sinqer	describe
gir	know
gen	read
horod	remember
mid	see

# Emotional
solov	need (intrinsic motive)
zalov	need (extrinstic motive)
somun	please
orcal	want, desire
sen	love
ax	feel

# Biological
riq	drink
wloc	eat
zumuz	sleep

# Mechanical
lirwb	boil
fumub	combust
erok	cut
vunod	ignite
rulfob	incorporate, combine
umav	inflate
axuhox	knead
real	mix
mohur	press, flatten
dobis	rest, sit
ixop	roll, move by rotating
juyun	break

# Domestic
capil	arrive
kworem	wear, don

# Social
iktojit	forgive
sag	give
qekad	meet
tacwl	say
cub	speak

# Combat
ji'sag	fight

# Occupational
hinal	dance
yel	learn
lifan	study
dax	teach, instruct
nom	bake

# Commercial
kanwj	buy
entuy	trade, barter

# Misc
arkahut	pace
qobur	float, levitate
zamoc	hang out, loiter
dog	emit
kak	reflect

# Here are some words I like the sound of even if I don't have a use for them yet.
# (These are generated by script RNG, which is less likely to include my personal
#  biases about which phones are "fun".)

# Collision issues:
#   Verbs can't end in -h; there is a collision between (gerund + W-class +
#     dual) and (patient + dual)

ywtwyeq	???
gahunuk	???
homwd	???
ujvel	???
fodwlsur	???
tatrodit	???
zalberil	???
